MpCodigo;DeCodigo;EMO;ECIS;PCL
85136;85;;;
15403;15;;;
5318;5;;;
27001;27;;;
68322;68;;;
68211;68;;;
5001;5;;;
68217;68;;;
68397;68;;;
15753;15;;;
68167;68;;;
68498;68;;;
5674;5;;;
5667;5;;;
68209;68;;;
5044;5;;;
5021;5;;;
68524;68;;;
5240;5;;;
5212;5;;;
15244;15;;;
5088;5;;;
5308;5;;;
15097;15;;;
5206;5;;;
5142;5;;;
68176;68;;;
15810;15;;;
68855;68;;;
15673;15;;;
15317;15;;;
15522;15;;;
68533;68;;;
5656;5;;;
5125;5;;;
5079;5;;;
68720;68;;;
68755;68;;;
5664;5;;;
68502;68;;;
15248;15;;;
5670;5;;;
68861;68;;;
68549;68;;;
5690;5;;;
68385;68;;;
68522;68;;;
68682;68;;;
5237;5;;;
15218;15;;;
5190;5;;;
68425;68;;;
68147;68;;;
5847;5;;;
68686;68;;;
81591;81;;;
68121;68;;;
68344;68;;;
5761;5;;;
68464;68;;;
68679;68;;;
81220;81;;;
5425;5;;;
5501;5;;;
5264;5;;;
5042;5;;;
68229;68;;;
68684;68;;;
81794;81;;;
68266;68;;;
68468;68;;;
68079;68;;;
5306;5;;;
68370;68;;;
5579;5;;;
68152;68;;;
15332;15;;;
5004;5;;;
68872;68;;;
68190;68;;;
68296;68;;;
68432;68;;;
5885;5;;;
5086;5;;;
5411;5;;;
68160;68;;;
68051;68;;;
5150;5;;;
27075;27;;;
68235;68;;;
5890;5;;;
15180;15;;;
5310;5;;;
5873;5;;;
81300;81;;;
27099;27;;;
68573;68;;;
5658;5;;;
5686;5;;;
68207;68;;;
68418;68;;;
68745;68;;;
5284;5;;;
5315;5;;;
68669;68;;;
5038;5;;;
5113;5;;;
5138;5;;;
5858;5;;;
68895;68;;;
68162;68;;;
5842;5;;;
5647;5;;;
5475;5;;;
15223;15;;;
81065;81;;;
81736;81;;;
5628;5;;;
68318;68;;;
5819;5;;;
81001;81;;;
68547;68;;;
68705;68;;;
68276;68;;;
68689;68;;;
68092;68;;;
5234;5;;;
68307;68;;;
5134;5;;;
5543;5;;;
5887;5;;;
68081;68;;;
5107;5;;;
68820;68;;;
54174;54;;;
68001;68;;;
5604;5;;;
5893;5;;;
5031;5;;;
54743;54;;;
68169;68;;;
27150;27;;;
54125;54;;;
54480;54;;;
68867;68;;;
68132;68;;;
54377;54;;;
68406;68;;;
13160;13;;;
5854;5;;;
5040;5;;;
68444;68;;;
54518;54;;;
5736;5;;;
54820;54;;;
27372;27;;;
54347;54;;;
5480;5;;;
54520;54;;;
5361;5;;;
68780;68;;;
68255;68;;;
54223;54;;;
54599;54;;;
68655;68;;;
54172;54;;;
13670;13;;;
5895;5;;;
54051;54;;;
68615;68;;;
5790;5;;;
54099;54;;;
5172;5;;;
54385;54;;;
54239;54;;;
54128;54;;;
54405;54;;;
54874;54;;;
5147;5;;;
54660;54;;;
54673;54;;;
23682;23;;;
5120;5;;;
27615;27;;;
54680;54;;;
20710;20;;;
5250;5;;;
54313;54;;;
54418;54;;;
23580;23;;;
5045;5;;;
54871;54;;;
5154;5;;;
20770;20;;;
68575;68;;;
23350;23;;;
13688;13;;;
13744;13;;;
23466;23;;;
54109;54;;;
5495;5;;;
54003;54;;;
54261;54;;;
23807;23;;;
20614;20;;;
54398;54;;;
27800;27;;;
23079;23;;;
54553;54;;;
54498;54;;;
23855;23;;;
13655;13;;;
54001;54;;;
13458;13;;;
20310;20;;;
13473;13;;;
13042;13;;;
20295;20;;;
5837;5;;;
54344;54;;;
20011;20;;;
70265;70;;;
54720;54;;;
23068;23;;;
23555;23;;;
54670;54;;;
5665;5;;;
13490;13;;;
23570;23;;;
13810;13;;;
13600;13;;;
27006;27;;;
5490;5;;;
70708;70;;;
70429;70;;;
20383;20;;;
5659;5;;;
13580;13;;;
13030;13;;;
13006;13;;;
23090;23;;;
23678;23;;;
54250;54;;;
5051;5;;;
20550;20;;;
70400;70;;;
70124;70;;;
23419;23;;;
13074;13;;;
23001;23;;;
13667;13;;;
23162;23;;;
13268;13;;;
23660;23;;;
13300;13;;;
70771;70;;;
23189;23;;;
20787;20;;;
20517;20;;;
13549;13;;;
23686;23;;;
70678;70;;;
23574;23;;;
23300;23;;;
54810;54;;;
54800;54;;;
70233;70;;;
23182;23;;;
13440;13;;;
70235;70;;;
13650;13;;;
23168;23;;;
70670;70;;;
23670;23;;;
54206;54;;;
13468;13;;;
54245;54;;;
23815;23;;;
13188;13;;;
23500;23;;;
47245;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
23417;23;;;
70215;70;;;
23464;23;;;
23586;23;;;
47318;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
70742;70;;;
20228;20;;;
70702;70;;;
70523;70;;;
13780;13;;;
70001;70;;;
23672;23;;;
70110;70;;;
23675;23;;;
13430;13;;;
70221;70;;;
70717;70;;;
47703;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
70473;70;;;
20175;20;;;
47692;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
70418;70;;;
20178;20;;;
20032;20;;;
70204;70;;;
70823;70;;;
70230;70;;;
47720;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
70820;70;;;
13212;13;;;
70508;70;;;
20400;20;;;
47545;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
47707;47;Meddyz del Norte;Meddyz del Norte;Servicios Integrales de Salud del Magdalena S.A.S.
13894;13;;;
20250;20;;;
13244;13;;;
20045;20;;;
13654;13;;;
47460;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
47058;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
47798;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
47555;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
20060;20;;;
13442;13;;;
13657;13;;;
13248;13;;;
70713;70;;;
47170;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
47541;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
20013;20;;;
47960;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
47205;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
13433;13;;;
13838;13;;;
13062;13;;;
13052;13;;;
20750;20;;;
8770;8;;;
13140;13;;;
47161;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
47660;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Fray Luis de León;Servicios Integrales de Salud del Magdalena S.A.S.
47030;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8675;8;;;
20238;20;;;
13760;13;;;
13620;13;;;
13836;13;;;
20443;20;;;
20621;20;;;
13647;13;;;
47258;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8137;8;;;
44420;44;;;
13873;13;;;
8436;8;;;
13683;13;;;
8141;8;;;
44855;44;;;
47675;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8606;8;;;
13222;13;;;
47288;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
44874;44;;;
47551;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8421;8;;;
13001;13;;;
44110;44;;;
8638;8;;;
8560;8;;;
20570;20;;;
8520;8;;;
47605;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
47268;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8685;8;;;
8849;8;;;
13673;13;;;
8558;8;;;
8549;8;;;
8634;8;;;
8078;8;;;
20001;20;;;
47053;47;Unidad de Medicina Integral PSS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8372;8;;;
8433;8;;;
8758;8;;;
8296;8;;;
47980;47;IPS Segursalud;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8832;8;;;
47570;47;IPS Segursalud;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
44650;44;;;
44098;44;;;
44279;44;;;
8573;8;;;
47189;47;IPS Segursalud;Servicios Integrales de Salud del Magdalena S.A.S.;Servicios Integrales de Salud del Magdalena S.A.S.
47745;47;Bonavita IPS;E.S.E. Hospital Departamental San Rafael;Servicios Integrales de Salud del Magdalena S.A.S.
8001;8;;;
44078;44;;;
44378;44;;;
44090;44;;;
47001;47;IPS Segursalud;Servicios Integrales de Salud del Magdalena S.A.S.;Servicios Integrales de Salud del Magdalena S.A.S.
44035;44;;;
44001;44;;;
44430;44;;;
44560;44;;;
44847;44;;;
88001;88;;;
88564;88;;;
52835;52;;;
